CLIENTE,CP,SEXO,PLAN,SEM_ATRASO,SALDO,ATRASO,MORAS,P_INICIAL,P_SEMANAL,BONIF_MORAS,PLAZO_DIAS,BONIF_INTERESES,POR_DEVENGAR
257,22680,F,NI,307,10707,10707,34852,1647,302,34852,210,,
258,82459,F,LIQUIDACION,13,2178,1573,382,509,244,99,56,0,205
259,22478,M,REGULARIZACION,10,28891,3213,380,738,522,0,126,0,15503
260,22415,M,LIQUIDACION,13,6739,3291,578,5221,0,0,0,0,2096
261,22230,M,LIQUIDACION,12,2795,1685,326,2588,0,0,0,0,533
262,45693,F,REGULARIZACION,13,22734,4434,180,732,602,0,126,0,10956
263,44948,M,REGULARIZACION,11,96758,12238,2406,3564,2510,0,63,0,49726
264,45599,M,LIQUIDACION,127,3653,3653,3644,583,391,3644,42,724,0
264,45599,M,LIQUIDACION,126,3653,3653,3644,583,391,3644,42,724,0
265,44970,M,LIQUIDACION,50,10802,9611,2169,6132,0,2169,0,4067,719.8
266,45640,M,LIQUIDACION,289,28029,28029,12971,1470,1468,12971,42,17751,0
267,44910,M,LIQUIDACION,85,15013,15013,8093,7910,0,8093,0,7103,0
268,44949,F,LIQUIDACION,300,11150,11150,5763,3717,0,5763,0,7433,0
269,45598,F,LIQUIDACION,335,11117,11117,5723,34,607,5723,42,7441,0
270,44970,F,NI,300,956,956,3614,956,0,3614,0,,
270,44970,F,NI,301,956,956,3624,956,0,3624,0,,
271,45598,F,REGULARIZACION,6,24009,1311,123,471,367,0,63,0,13756
272,44985,F,LIQUIDACION,193,1976,1976,1412,1024,0,1412,0,952,0
272,44985,F,LIQUIDACION,192,1976,1976,1412,1024,0,1412,0,952,0
273,44920,M,LIQUIDACION,274,5835,5835,4649,2409,0,4649,0,3426,0
274,44970,F,LIQUIDACION,56,6359,6359,6071,4667,0,6071,0,1692,0
274,44970,F,LIQUIDACION,57,6359,6359,6071,959,450,6071,84,0,0
275,55712,F,LIQUIDACION,23,6775,2645,1143,714,660,0,56,0,2590
276,44970,F,REGULARIZACION,13,27692,4122,876,1203,690,0,84,0,13491
277,44970,F,LIQUIDACION,197,871,871,1816,142,97,1816,42,147,0
277,44970,F,LIQUIDACION,196,871,871,1816,142,97,1816,42,147,0
278,44470,F,LIQUIDACION,44,6872,6872,6145,1083,392,6145,84,1085,0
279,44990,M,REGULARIZACION,10,11068,2002,278,426,366,0,84,0,4908
280,45050,F,REGULARIZACION,6,8079,1322,103,704,339,0,63,0,4078
281,44970,F,REGULARIZACION,9,11258,2437,337,579,634,0,63,0,3316
282,44770,F,REESTRUCTURA,16,13191,5353,1468,811,256,0,378,0,
283,44990,M,REGULARIZACION,8,6012,2067,134,1066,658,0,42,0,2072
284,44990,F,REGULARIZACION,6,12665,1265,75,686,375,0,42,0,6813
285,45599,M,REGULARIZACION,6,12336,1542,156,776,388,0,63,0,5131
286,23600,F,REGULARIZACION,6,26116,2633,268,889,596,0,105,0,14649
287,23650,M,REGULARIZACION,9,53786,4538,347,1510,729,0,126,0,28248
288,23600,F,NI,99,2071,2071,4621,2071,0,4621,0,,
289,23670,F,NI,262,21967,21967,123224,9997,1710,123224,49,,
290,23700,F,LIQUIDACION,181,8199,8199,0,4177,0,0,0,4022,0
291,23740,F,LIQUIDACION,387,6326,6326,2375,3134,0,2375,0,3192,0
292,23670,F,NI,237,3314,3314,16984,3314,0,16984,0,,
293,23676,F,LIQUIDACION,434,10622,10622,8344,5773,0,8344,0,4849,0
294,23650,F,LIQUIDACION,420,6211,6211,4220,1429,719,4220,14,3344,0
295,23600,F,LIQUIDACION,389,9225,9225,7704,1501,407,7704,42,5282,0
296,23880,M,LIQUIDACION,107,19224,19224,7673,10550,0,7673,0,8674,0
296,23880,M,LIQUIDACION,80,2835,2835,1431,459,304,1431,42,552,0
297,23700,F,LIQUIDACION,378,8723,8723,7644,2077,500,7644,28,4646,0
298,23600,F,NI,18,8846.41,8846.41,3336.63,8847,0,3336.63,0,,
299,23600,M,NI,18,8846.41,8846.41,3336.63,8847,0,3336.63,0,,
300,23740,M,LIQUIDACION,371,8164,8164,3143,3140,0,3143,0,5024,0
301,23740,F,NI,244,4937,4937,26648,4937,0,26648,0,,
302,23676,M,NI,280,9881,9881,58820,2001,788,58820,70,,
303,23690,F,REGULARIZACION,8,11561,2644,93,1260,455,0,63,0,5520
304,23600,M,LIQUIDACION,107,3897,3897,5145,2332,0,5145,0,1565,0
305,72310,M,REGULARIZACION,8,4800,800,112,217,165,0,84,0,2520
306,72314,M,LIQUIDACION,129,25146,25146,9925,3988,824,9925,168,1382,0
307,72314,M,LIQUIDACION,304,7069,7069,5712,2128,250,5712,14,4441,0
308,72309,M,LIQUIDACION,543,10245,10245,5229,5116,0,5229,0,5129,0
309,72940,M,LIQUIDACION,311,44600,44600,9055,9999,1498,9055,42,25613,0
310,72307,F,REGULARIZACION,9,27413,4716,767,1291,1048,0,63,0,13312
311,72310,M,LIQUIDACION,269,4862,4862,4862,3060,0,4862,0,1802,0
312,72260,M,REGULARIZACION,13,17785,7689,1096,1316,1306,0,84,0,5939
313,72310,F,LIQUIDACION,340,18750,18750,10686,3000,2492,10686,14,10766,0
314,72310,F,LIQUIDACION,388,3081,3081,3064,3081,0,3064,0,0,0
315,72310,M,LIQUIDACION,59,29897,29897,26742,19747,0,26742,0,10150,0
